Holder,Amount
0xc5c75caf067ae899a7ec10b86b5ab38c13879388,13971686.100532074
0x54c82d26624e85000d1387ee7c9580c3c6d7b5b7,13054671.090465171
0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,12177684.84107745
0x678783721b49a5d079f4aadf12c91049ebf7b3c1,11251269.444922578
0x029528ee70cce92176288538d489c411c4c60bc4,10992833.767914042
0x50fc9731dace42caa45d166bff404bbb7464bf21,10067421.049058463
0xdd04ccdf463a99873631598a712475d28e12710f,10016544.848284088
0x71ae848458feda90da829b70875343552dc821a0,9733128.560468102
0xe9e6d5663ec820bc5bebaca5555120ab6b4a437d,9206438.460951282
0x9b44473e223f8a3c047ad86f387b80402536b029,8834798.483544089
