Wallet Address,Mainnet,Protocols,Total Balance,Tokens Held,Creation Time,Last Transaction Time
0x00000000219ab540356cbb839cbe05303d7705fa,Ethereum,"['Uniswap', 'Aave']",1.3394E+11,1169,1/1/2021,9/1/2023
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Ethereum,"['Uniswap', 'Aave']",7559824551,2534,1/1/2021,9/1/2023
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Ethereum,"['Uniswap', 'Aave']",6145821111,4441,1/1/2021,9/1/2023
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,Ethereum,"['Uniswap', 'Aave']",4328911569,502,1/1/2021,9/1/2023
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,Ethereum,"['Uniswap', 'Aave']",3503879391,220,1/1/2021,9/1/2023
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Ethereum,"['Uniswap', 'Aave']",2089644694,2215,1/1/2021,9/1/2023
0xf977814e90da44bfa03b6295a0616a897441acec,Ethereum,"['Uniswap', 'Aave']",38134153601,6219,1/1/2021,9/1/2023
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Ethereum,"['Uniswap', 'Aave']",4874962373,1841,1/1/2021,9/1/2023
0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033,Ethereum,"['Uniswap', 'Aave']",1390712436,177,1/1/2021,9/1/2023
0x49048044d57e1c92a77f79988d21fa8faf74e97e,Ethereum,"['Uniswap', 'Aave']",1387247562,578,1/1/2021,9/1/2023
